NUM_INS	ANO_ENEM	COD_MUN_PRV
150000000067	2015	1400100
150000000323	2015	1400100
150000000710	2015	1400100
150000000767	2015	1400100
150000000940	2015	1400100
150000002578	2015	1400308
150000003508	2015	1400100
150000004553	2015	1400100
150000004951	2015	1400100
150000005964	2015	1400100
150000006218	2015	1400100
150000007808	2015	1400100
150000007924	2015	1400100
150000008381	2015	1400100
150000008645	2015	1400100
150000009841	2015	1400100
150000010199	2015	1400100
150000011470	2015	1400100
150000012604	2015	1400100
150000014989	2015	1400100
150000015347	2015	1400100
150000017712	2015	1400100
150000017795	2015	1400100
150000018809	2015	1400100
150000020209	2015	1400100
150000020712	2015	1400100
150000021256	2015	1400100
150000022756	2015	1400100
150000022992	2015	1400100
150000023433	2015	1400100
150000023458	2015	1400100
150000023725	2015	1400100
150000024867	2015	1400100
150000024915	2015	1400100
150000025261	2015	1400100
150000025653	2015	1400100
150000025660	2015	1400100
150000025976	2015	1400100
150000026007	2015	1400209
150000026644	2015	1400050
150000027480	2015	1400100
150000027939	2015	1400100
150000029969	2015	1400100
150000030824	2015	1400100
150000031707	2015	1400100
150000031719	2015	1400100
150000032111	2015	1400100
150000032276	2015	1400100
150000035110	2015	1400100
150000035224	2015	1400100
150000036041	2015	1400100
150000036540	2015	1400100
150000036964	2015	1400100
150000037540	2015	1400100
150000037777	2015	1400050
150000038175	2015	1400100
150000038537	2015	1400100
150000038609	2015	1400100
150000038712	2015	1400100
150000038951	2015	1400100
150000039002	2015	1400100
150000039619	2015	1400100
150000039877	2015	1400100
150000040111	2015	1400100
150000040745	2015	1400100
150000040837	2015	1400100
150000040886	2015	1400100
150000041882	2015	1400100
150000043272	2015	1400100
150000043575	2015	1400100
150000043816	2015	1400100
150000043927	2015	1400100
150000044750	2015	1400100
150000045014	2015	1400209
150000045062	2015	1400100
150000045369	2015	1400100
150000045669	2015	1400100
150000046141	2015	1400100
150000047239	2015	1400100
150000047614	2015	1400100
150000047660	2015	1400100
150000048335	2015	1400100
150000048408	2015	1400100
150000048538	2015	1400100
150000048876	2015	1400100
150000049025	2015	1400100
150000049904	2015	1400100
150000049929	2015	1400100
150000050000	2015	1400100
150000050397	2015	1400100
150000050793	2015	1400100
150000051032	2015	1400100
150000051570	2015	1400100
150000051616	2015	1400100
150000051819	2015	1400100
150000051844	2015	1400100
150000052180	2015	1400100
150000052270	2015	1400100
150000053228	2015	1400100
150000053586	2015	1400100
150000054125	2015	1400100
150000055289	2015	1400100
150000056449	2015	1400100
150000057003	2015	1400100
150000057432	2015	1400100
150000057585	2015	1400100
150000057770	2015	1400100
150000058385	2015	1400100
150000059196	2015	1400100
150000059289	2015	1400100
150000060029	2015	1400506
150000060799	2015	1400100
150000061804	2015	1400100
150000061856	2015	1400100
